"winner_name","loser_name","surface","year","period"
"Djokovic N.","Schwartzman D.","Clay",2017,"2017-19"
"Cilic M.","Lopez F.","Clay",2017,"2017-19"
"Wawrinka S.","Fognini F.","Clay",2017,"2017-19"
"Khachanov K.","Isner J.","Clay",2017,"2017-19"
"Carreno Busta P.","Raonic M.","Clay",2017,"2017-19"
"Nadal R.","Bautista Agut R.","Clay",2017,"2017-19"
"Djokovic N.","Ramos-Vinolas A.","Clay",2017,"2017-19"
"Murray A.","Khachanov K.","Clay",2017,"2017-19"
"Nishikori K.","Verdasco F.","Clay",2017,"2017-19"
"Wawrinka S.","Monfils G.","Clay",2017,"2017-19"
"Thiem D.","Djokovic N.","Clay",2017,"2017-19"
"Murray A.","Nishikori K.","Clay",2017,"2017-19"
"Wawrinka S.","Cilic M.","Clay",2017,"2017-19"
"Wawrinka S.","Murray A.","Clay",2017,"2017-19"
"Nadal R.","Thiem D.","Clay",2017,"2017-19"
"Nadal R.","Wawrinka S.","Clay",2017,"2017-19"
"Zverev A.","Mannarino A.","Grass",2017,"2017-19"
"Lopez F.","Simon G.","Grass",2017,"2017-19"
"Lopez F.","Chardy J.","Grass",2017,"2017-19"
"Rublev A.","Ramos-Vinolas A.","Grass",2017,"2017-19"
"Gasquet R.","Monfils G.","Grass",2017,"2017-19"
"Nishikori K.","Verdasco F.","Grass",2017,"2017-19"
"Khachanov K.","Simon G.","Grass",2017,"2017-19"
"Khachanov K.","Rublev A.","Grass",2017,"2017-19"
"Zverev A.","Bautista Agut R.","Grass",2017,"2017-19"
"Federer R.","Khachanov K.","Grass",2017,"2017-19"
"Zverev A.","Gasquet R.","Grass",2017,"2017-19"
"Federer R.","Zverev A.","Grass",2017,"2017-19"
"Lopez F.","Wawrinka S.","Grass",2017,"2017-19"
"Cilic M.","Isner J.","Grass",2017,"2017-19"
"Lopez F.","Chardy J.","Grass",2017,"2017-19"
"Dimitrov G.","Medvedev D.","Grass",2017,"2017-19"
"Lopez F.","Dimitrov G.","Grass",2017,"2017-19"
"Lopez F.","Cilic M.","Grass",2017,"2017-19"
"Mannarino A.","Coric B.","Grass",2017,"2017-19"
"Mannarino A.","Verdasco F.","Grass",2017,"2017-19"
"Lajovic D.","Chardy J.","Grass",2017,"2017-19"
"Gasquet R.","Tiafoe F.","Grass",2017,"2017-19"
"Isner J.","Lajovic D.","Grass",2017,"2017-19"
"Monfils G.","Norrie C.","Grass",2017,"2017-19"
"Gasquet R.","Anderson K.","Grass",2017,"2017-19"
"Medvedev D.","Johnson S.","Grass",2017,"2017-19"
"Gasquet R.","Isner J.","Grass",2017,"2017-19"
"Djokovic N.","Medvedev D.","Grass",2017,"2017-19"
"Monfils G.","Gasquet R.","Grass",2017,"2017-19"
"Djokovic N.","Monfils G.","Grass",2017,"2017-19"
"Murray A.","Bublik A.","Grass",2017,"2017-19"
"Anderson K.","Verdasco F.","Grass",2017,"2017-19"
"Medvedev D.","Wawrinka S.","Grass",2017,"2017-19"
"Raonic M.","Struff J.L.","Grass",2017,"2017-19"
"Lajovic D.","Tsitsipas S.","Grass",2017,"2017-19"
"Dimitrov G.","Schwartzman D.","Grass",2017,"2017-19"
"Isner J.","Fritz T.","Grass",2017,"2017-19"
"Thiem D.","Simon G.","Grass",2017,"2017-19"
"Ramos-Vinolas A.","Rublev A.","Grass",2017,"2017-19"
"Zverev A.","Tiafoe F.","Grass",2017,"2017-19"
"Federer R.","Lajovic D.","Grass",2017,"2017-19"
"Bautista Agut R.","Nishikori K.","Grass",2017,"2017-19"
"Cilic M.","Johnson S.","Grass",2017,"2017-19"
"Nadal R.","Khachanov K.","Grass",2017,"2017-19"
"Murray A.","Fognini F.","Grass",2017,"2017-19"
"Mannarino A.","Monfils G.","Grass",2017,"2017-19"
"Raonic M.","Ramos-Vinolas A.","Grass",2017,"2017-19"
"Cilic M.","Bautista Agut R.","Grass",2017,"2017-19"
"Murray A.","Paire B.","Grass",2017,"2017-19"
"Raonic M.","Zverev A.","Grass",2017,"2017-19"
"Federer R.","Dimitrov G.","Grass",2017,"2017-19"
"Djokovic N.","Mannarino A.","Grass",2017,"2017-19"
"Federer R.","Raonic M.","Grass",2017,"2017-19"
"Federer R.","Cilic M.","Grass",2017,"2017-19"
"Verdasco F.","Ramos-Vinolas A.","Clay",2017,"2017-19"
"Rublev A.","Fognini F.","Clay",2017,"2017-19"
"Fognini F.","Bautista Agut R.","Clay",2017,"2017-19"
"Lajovic D.","Simon G.","Clay",2017,"2017-19"
"Fritz T.","Ramos-Vinolas A.","Hard",2017,"2017-19"
"Medvedev D.","Johnson S.","Hard",2017,"2017-19"
"Anderson K.","Thiem D.","Hard",2017,"2017-19"
"Medvedev D.","Dimitrov G.","Hard",2017,"2017-19"
"Zverev A.","Medvedev D.","Hard",2017,"2017-19"
"Nishikori K.","Paul T.","Hard",2017,"2017-19"
"Zverev A.","Nishikori K.","Hard",2017,"2017-19"
"Zverev A.","Anderson K.","Hard",2017,"2017-19"
"Monfils G.","Johnson S.","Hard",2017,"2017-19"
"Mannarino A.","Medvedev D.","Hard",2017,"2017-19"
"Carreno Busta P.","Khachanov K.","Hard",2017,"2017-19"
"Schwartzman D.","Thiem D.","Hard",2017,"2017-19"
"Monfils G.","Nishikori K.","Hard",2017,"2017-19"
"Anderson K.","Carreno Busta P.","Hard",2017,"2017-19"
"Zverev A.","Gasquet R.","Hard",2017,"2017-19"
"Nadal R.","Coric B.","Hard",2017,"2017-19"
"Mannarino A.","Raonic M.","Hard",2017,"2017-19"
"Bautista Agut R.","Monfils G.","Hard",2017,"2017-19"
"Shapovalov D.","Nadal R.","Hard",2017,"2017-19"
"Federer R.","Bautista Agut R.","Hard",2017,"2017-19"
"Shapovalov D.","Mannarino A.","Hard",2017,"2017-19"
"Zverev A.","Anderson K.","Hard",2017,"2017-19"
"Zverev A.","Shapovalov D.","Hard",2017,"2017-19"
"Zverev A.","Federer R.","Hard",2017,"2017-19"
"Fognini F.","Medvedev D.","Hard",2017,"2017-19"
"Khachanov K.","Schwartzman D.","Hard",2017,"2017-19"
"Isner J.","Paul T.","Hard",2017,"2017-19"
"Thiem D.","Fognini F.","Hard",2017,"2017-19"
"Dimitrov G.","Lopez F.","Hard",2017,"2017-19"
"Tiafoe F.","Zverev A.","Hard",2017,"2017-19"
"Nadal R.","Gasquet R.","Hard",2017,"2017-19"
"Thiem D.","Mannarino A.","Hard",2017,"2017-19"
"Isner J.","Tiafoe F.","Hard",2017,"2017-19"
"Nadal R.","Ramos-Vinolas A.","Hard",2017,"2017-19"
"Dimitrov G.","Isner J.","Hard",2017,"2017-19"
"Bautista Agut R.","Lajovic D.","Hard",2017,"2017-19"
"Coric B.","Isner J.","Hard",2017,"2017-19"
"Bautista Agut R.","Fritz T.","Hard",2017,"2017-19"
"Struff J.L.","Coric B.","Hard",2017,"2017-19"
"Bautista Agut R.","Struff J.L.","Hard",2017,"2017-19"
"Shapovalov D.","Medvedev D.","Hard",2017,"2017-19"
"Nadal R.","Lajovic D.","Hard",2017,"2017-19"
"Federer R.","Tiafoe F.","Hard",2017,"2017-19"
"Monfils G.","Chardy J.","Hard",2017,"2017-19"
"Thiem D.","De Minaur A.","Hard",2017,"2017-19"
"Coric B.","Zverev A.","Hard",2017,"2017-19"
"Carreno Busta P.","Norrie C.","Hard",2017,"2017-19"
"Rublev A.","Dimitrov G.","Hard",2017,"2017-19"
"Lopez F.","Verdasco F.","Hard",2017,"2017-19"
"Thiem D.","Fritz T.","Hard",2017,"2017-19"
"Schwartzman D.","Cilic M.","Hard",2017,"2017-19"
"Anderson K.","Coric B.","Hard",2017,"2017-19"
"Thiem D.","Mannarino A.","Hard",2017,"2017-19"
"Federer R.","Lopez F.","Hard",2017,"2017-19"
"Carreno Busta P.","Shapovalov D.","Hard",2017,"2017-19"
"Rublev A.","Goffin D.","Hard",2017,"2017-19"
"Carreno Busta P.","Schwartzman D.","Hard",2017,"2017-19"
"Nadal R.","Rublev A.","Hard",2017,"2017-19"
"Anderson K.","Carreno Busta P.","Hard",2017,"2017-19"
"Nadal R.","Anderson K.","Hard",2017,"2017-19"
"Paire B.","Tsitsipas S.","Hard",2017,"2017-19"
"Paire B.","Goffin D.","Hard",2017,"2017-19"
"Struff J.L.","Coric B.","Hard",2017,"2017-19"
"Fognini F.","Bautista Agut R.","Hard",2017,"2017-19"
"Lajovic D.","Ramos-Vinolas A.","Hard",2017,"2017-19"
"Lajovic D.","Verdasco F.","Hard",2017,"2017-19"
"Nadal R.","Khachanov K.","Hard",2017,"2017-19"
"Zverev A.","Fognini F.","Hard",2017,"2017-19"
"Dimitrov G.","Bautista Agut R.","Hard",2017,"2017-19"
"Nadal R.","Isner J.","Hard",2017,"2017-19"
"Zverev A.","Rublev A.","Hard",2017,"2017-19"
"Nadal R.","Dimitrov G.","Hard",2017,"2017-19"
"Cilic M.","Tsitsipas S.","Hard",2017,"2017-19"
"Anderson K.","Simon G.","Hard",2017,"2017-19"
"Johnson S.","Thiem D.","Hard",2017,"2017-19"
"Goffin D.","Lopez F.","Hard",2017,"2017-19"
"Schwartzman D.","Johnson S.","Hard",2017,"2017-19"
"Goffin D.","Gasquet R.","Hard",2017,"2017-19"
"Goffin D.","Schwartzman D.","Hard",2017,"2017-19"
"Mannarino A.","Cilic M.","Hard",2017,"2017-19"
"Goffin D.","Mannarino A.","Hard",2017,"2017-19"
"Fognini F.","Verdasco F.","Hard",2017,"2017-19"
"Ramos-Vinolas A.","Sousa J.","Hard",2017,"2017-19"
"Tiafoe F.","Paire B.","Hard",2017,"2017-19"
"Tsitsipas S.","Khachanov K.","Hard",2017,"2017-19"
"Isner J.","Lajovic D.","Hard",2017,"2017-19"
"Anderson K.","Mannarino A.","Hard",2017,"2017-19"
"Ramos-Vinolas A.","Carreno Busta P.","Hard",2017,"2017-19"
"Simon G.","Goffin D.","Hard",2017,"2017-19"
"Struff J.L.","Anderson K.","Hard",2017,"2017-19"
"Federer R.","Schwartzman D.","Hard",2017,"2017-19"
"Isner J.","Tsitsipas S.","Hard",2017,"2017-19"
"Ramos-Vinolas A.","Struff J.L.","Hard",2017,"2017-19"
"Cilic M.","Johnson S.","Hard",2017,"2017-19"
"Gasquet R.","Simon G.","Hard",2017,"2017-19"
"Nadal R.","Fognini F.","Hard",2017,"2017-19"
"Cilic M.","Ramos-Vinolas A.","Hard",2017,"2017-19"
"Nadal R.","Dimitrov G.","Hard",2017,"2017-19"
"Federer R.","Gasquet R.","Hard",2017,"2017-19"
"Nadal R.","Cilic M.","Hard",2017,"2017-19"
"Federer R.","Nadal R.","Hard",2017,"2017-19"
"Sousa J.","Paire B.","Hard",2017,"2017-19"
"Goffin D.","Tiafoe F.","Hard",2017,"2017-19"
"Tsitsipas S.","Goffin D.","Hard",2017,"2017-19"
"Schwartzman D.","Tsitsipas S.","Hard",2017,"2017-19"
"Medvedev D.","Carreno Busta P.","Hard",2017,"2017-19"
"Bublik A.","Ramos-Vinolas A.","Hard",2017,"2017-19"
"Verdasco F.","Anderson K.","Hard",2017,"2017-19"
"Dimitrov G.","Fognini F.","Hard",2017,"2017-19"
"Paire B.","Johnson S.","Hard",2017,"2017-19"
"Federer R.","Tiafoe F.","Hard",2017,"2017-19"
"Cilic M.","Coric B.","Hard",2017,"2017-19"
"Federer R.","Paire B.","Hard",2017,"2017-19"
"Mannarino A.","Shapovalov D.","Hard",2017,"2017-19"
"Federer R.","Mannarino A.","Hard",2017,"2017-19"
"Federer R.","Goffin D.","Hard",2017,"2017-19"
"Gasquet R.","Lopez F.","Hard",2017,"2017-19"
"Thiem D.","Rublev A.","Hard",2017,"2017-19"
"Schwartzman D.","Fognini F.","Hard",2017,"2017-19"
"Zverev A.","Simon G.","Hard",2017,"2017-19"
"Schwartzman D.","Carreno Busta P.","Hard",2017,"2017-19"
"Struff J.L.","Ramos-Vinolas A.","Hard",2017,"2017-19"
"Gasquet R.","Thiem D.","Hard",2017,"2017-19"
"Chardy J.","Simon G.","Hard",2017,"2017-19"
"Gasquet R.","Paire B.","Hard",2017,"2017-19"
"Coric B.","Struff J.L.","Hard",2017,"2017-19"
"Verdasco F.","Rublev A.","Hard",2017,"2017-19"
"Isner J.","Schwartzman D.","Hard",2017,"2017-19"
"Verdasco F.","Anderson K.","Hard",2017,"2017-19"
"Dimitrov G.","Gasquet R.","Hard",2017,"2017-19"
"Cilic M.","Coric B.","Hard",2017,"2017-19"
"Goffin D.","Mannarino A.","Hard",2017,"2017-19"
"Bautista Agut R.","Chardy J.","Hard",2017,"2017-19"
"Verdasco F.","Thiem D.","Hard",2017,"2017-19"
"Isner J.","Dimitrov G.","Hard",2017,"2017-19"
"Cilic M.","Bautista Agut R.","Hard",2017,"2017-19"
"Zverev A.","Cilic M.","Hard",2017,"2017-19"
"Dimitrov G.","Thiem D.","Hard",2017,"2017-19"
"Goffin D.","Nadal R.","Hard",2017,"2017-19"
"Federer R.","Zverev A.","Hard",2017,"2017-19"
"Dimitrov G.","Goffin D.","Hard",2017,"2017-19"
"Thiem D.","Carreno Busta P.","Hard",2017,"2017-19"
"Federer R.","Cilic M.","Hard",2017,"2017-19"
"Goffin D.","Thiem D.","Hard",2017,"2017-19"
"Dimitrov G.","Carreno Busta P.","Hard",2017,"2017-19"
"Goffin D.","Federer R.","Hard",2017,"2017-19"
"Dimitrov G.","Goffin D.","Hard",2017,"2017-19"
"De Minaur A.","Johnson S.","Hard",2017,"2017-19"
"De Minaur A.","Raonic M.","Hard",2018,"2017-19"
"Coric B.","Carreno Busta P.","Hard",2018,"2017-19"
"Rublev A.","Verdasco F.","Hard",2018,"2017-19"
"Monfils G.","Struff J.L.","Hard",2018,"2017-19"
"Tsitsipas S.","Gasquet R.","Hard",2018,"2017-19"
"Rublev A.","Coric B.","Hard",2018,"2017-19"
"Thiem D.","Tsitsipas S.","Hard",2018,"2017-19"
"Monfils G.","Rublev A.","Hard",2018,"2017-19"
"Simon G.","Bautista Agut R.","Hard",2018,"2017-19"
"Simon G.","Cilic M.","Hard",2018,"2017-19"
"Anderson K.","Paire B.","Hard",2018,"2017-19"
"Simon G.","Anderson K.","Hard",2018,"2017-19"
"Bautista Agut R.","Johnson S.","Hard",2018,"2017-19"
"De Minaur A.","Verdasco F.","Hard",2018,"2017-19"
"Lopez F.","Schwartzman D.","Hard",2018,"2017-19"
"Fognini F.","Mannarino A.","Hard",2018,"2017-19"
"De Minaur A.","Lopez F.","Hard",2018,"2017-19"
"Medvedev D.","Fognini F.","Hard",2018,"2017-19"
"De Minaur A.","Paire B.","Hard",2018,"2017-19"
"Medvedev D.","De Minaur A.","Hard",2018,"2017-19"
"Shapovalov D.","Tsitsipas S.","Hard",2018,"2017-19"
"Schwartzman D.","Lajovic D.","Hard",2018,"2017-19"
"Verdasco F.","Bautista Agut R.","Hard",2018,"2017-19"
"Cilic M.","Sousa J.","Hard",2018,"2017-19"
"Schwartzman D.","Ruud C.","Hard",2018,"2017-19"
"Djokovic N.","Monfils G.","Hard",2018,"2017-19"
"Gasquet R.","Sonego L.","Hard",2018,"2017-19"
"Federer R.","Struff J.L.","Hard",2018,"2017-19"
"Dimitrov G.","Rublev A.","Hard",2018,"2017-19"
"Thiem D.","Mannarino A.","Hard",2018,"2017-19"
"Djokovic N.","Ramos-Vinolas A.","Hard",2018,"2017-19"
"Federer R.","Gasquet R.","Hard",2018,"2017-19"
"Cilic M.","Carreno Busta P.","Hard",2018,"2017-19"
"Nadal R.","Schwartzman D.","Hard",2018,"2017-19"
"Federer R.","Cilic M.","Hard",2018,"2017-19"
"Chardy J.","Tsitsipas S.","Hard",2018,"2017-19"
"Gasquet R.","Medvedev D.","Hard",2018,"2017-19"
"Goffin D.","Simon G.","Hard",2018,"2017-19"
"Rublev A.","Chardy J.","Hard",2018,"2017-19"
"Goffin D.","Khachanov K.","Hard",2018,"2017-19"
"Gasquet R.","Goffin D.","Hard",2018,"2017-19"
"Monfils G.","Ruud C.","Clay",2018,"2017-19"
"Monfils G.","Lajovic D.","Clay",2018,"2017-19"
"Thiem D.","Monfils G.","Clay",2018,"2017-19"
"Anderson K.","Tiafoe F.","Hard",2018,"2017-19"
"Anderson K.","Nishikori K.","Hard",2018,"2017-19"
"Goffin D.","Lopez F.","Hard",2018,"2017-19"
"Dimitrov G.","Rublev A.","Hard",2018,"2017-19"
"Federer R.","Dimitrov G.","Hard",2018,"2017-19"
"Johnson S.","Raonic M.","Hard",2018,"2017-19"
"Shapovalov D.","Fritz T.","Hard",2018,"2017-19"
"Tiafoe F.","Shapovalov D.","Hard",2018,"2017-19"
"Thiem D.","Lajovic D.","Clay",2018,"2017-19"
"Monfils G.","Cilic M.","Clay",2018,"2017-19"
"Schwartzman D.","Monfils G.","Clay",2018,"2017-19"
"Verdasco F.","Thiem D.","Clay",2018,"2017-19"
"Verdasco F.","Fognini F.","Clay",2018,"2017-19"
"Schwartzman D.","Verdasco F.","Clay",2018,"2017-19"
"Shapovalov D.","Nishikori K.","Hard",2018,"2017-19"
"Schwartzman D.","Verdasco F.","Hard",2018,"2017-19"
"Thiem D.","Norrie C.","Hard",2018,"2017-19"
"Thiem D.","Shapovalov D.","Hard",2018,"2017-19"
"Anderson K.","Mannarino A.","Hard",2018,"2017-19"
"Coric B.","Gasquet R.","Hard",2018,"2017-19"
"Coric B.","Paire B.","Hard",2018,"2017-19"
"Bautista Agut R.","Coric B.","Hard",2018,"2017-19"
"Medvedev D.","Johnson S.","Hard",2018,"2017-19"
"De Minaur A.","Struff J.L.","Hard",2018,"2017-19"
"Thiem D.","Tsitsipas S.","Hard",2018,"2017-19"
"Chardy J.","Fognini F.","Hard",2018,"2017-19"
"Fritz T.","Rublev A.","Hard",2018,"2017-19"
"Verdasco F.","Dimitrov G.","Hard",2018,"2017-19"
"Coric B.","Ramos-Vinolas A.","Hard",2018,"2017-19"
"Monfils G.","Isner J.","Hard",2018,"2017-19"
"Raonic M.","Auger-Aliassime F.","Hard",2018,"2017-19"
"Sousa J.","Zverev A.","Hard",2018,"2017-19"
"Chardy J.","Mannarino A.","Hard",2018,"2017-19"
"Carreno Busta P.","Medvedev D.","Hard",2018,"2017-19"
"Coric B.","Bautista Agut R.","Hard",2018,"2017-19"
"Fritz T.","Verdasco F.","Hard",2018,"2017-19"
"Raonic M.","Sousa J.","Hard",2018,"2017-19"
"Coric B.","Fritz T.","Hard",2018,"2017-19"
"Anderson K.","Carreno Busta P.","Hard",2018,"2017-19"
"Federer R.","Chardy J.","Hard",2018,"2017-19"
"Coric B.","Anderson K.","Hard",2018,"2017-19"
"Federer R.","Coric B.","Hard",2018,"2017-19"
"Medvedev D.","Tsitsipas S.","Hard",2018,"2017-19"
"Sousa J.","Goffin D.","Hard",2018,"2017-19"
"Chardy J.","Gasquet R.","Hard",2018,"2017-19"
"Paire B.","Djokovic N.","Hard",2018,"2017-19"
"Zverev A.","Medvedev D.","Hard",2018,"2017-19"
"Johnson S.","Mannarino A.","Hard",2018,"2017-19"
"Chardy J.","Dimitrov G.","Hard",2018,"2017-19"
"Raonic M.","Schwartzman D.","Hard",2018,"2017-19"
"Carreno Busta P.","Johnson S.","Hard",2018,"2017-19"
"Anderson K.","Khachanov K.","Hard",2018,"2017-19"
"Isner J.","Cilic M.","Hard",2018,"2017-19"
"Raonic M.","Chardy J.","Hard",2018,"2017-19"
"Carreno Busta P.","Verdasco F.","Hard",2018,"2017-19"
"Coric B.","Shapovalov D.","Hard",2018,"2017-19"
"Anderson K.","Tiafoe F.","Hard",2018,"2017-19"
"Carreno Busta P.","Anderson K.","Hard",2018,"2017-19"
"Zverev A.","Coric B.","Hard",2018,"2017-19"
"Zverev A.","Carreno Busta P.","Hard",2018,"2017-19"
"Isner J.","Zverev A.","Hard",2018,"2017-19"
"Johnson S.","Tiafoe F.","Clay",2018,"2017-19"
"Johnson S.","Isner J.","Clay",2018,"2017-19"
"Johnson S.","Fritz T.","Clay",2018,"2017-19"
"Simon G.","Paire B.","Clay",2018,"2017-19"
"Gasquet R.","Simon G.","Clay",2018,"2017-19"
"Djokovic N.","Lajovic D.","Clay",2018,"2017-19"
"Tsitsipas S.","Shapovalov D.","Clay",2018,"2017-19"
"Simon G.","Mannarino A.","Clay",2018,"2017-19"
"Lopez F.","Paire B.","Clay",2018,"2017-19"
"Gasquet R.","Chardy J.","Clay",2018,"2017-19"
"Thiem D.","Rublev A.","Clay",2018,"2017-19"
"Goffin D.","Tsitsipas S.","Clay",2018,"2017-19"
"Nishikori K.","Medvedev D.","Clay",2018,"2017-19"
"Bautista Agut R.","Lopez F.","Clay",2018,"2017-19"
"Khachanov K.","Simon G.","Clay",2018,"2017-19"
"Struff J.L.","Fognini F.","Clay",2018,"2017-19"
"Djokovic N.","Coric B.","Clay",2018,"2017-19"
"Gasquet R.","Schwartzman D.","Clay",2018,"2017-19"
"Cilic M.","Verdasco F.","Clay",2018,"2017-19"
"Goffin D.","Bautista Agut R.","Clay",2018,"2017-19"
"Zverev A.","Struff J.L.","Clay",2018,"2017-19"
"Thiem D.","Djokovic N.","Clay",2018,"2017-19"
"Nadal R.","Khachanov K.","Clay",2018,"2017-19"
"Dimitrov G.","Goffin D.","Clay",2018,"2017-19"
"Nadal R.","Thiem D.","Clay",2018,"2017-19"
"Nishikori K.","Cilic M.","Clay",2018,"2017-19"
"Zverev A.","Gasquet R.","Clay",2018,"2017-19"
"Nadal R.","Dimitrov G.","Clay",2018,"2017-19"
"Nishikori K.","Zverev A.","Clay",2018,"2017-19"
"Nadal R.","Nishikori K.","Clay",2018,"2017-19"
"Lopez F.","Lajovic D.","Clay",2018,"2017-19"
"Dimitrov G.","Simon G.","Clay",2018,"2017-19"
"Tsitsipas S.","Schwartzman D.","Clay",2018,"2017-19"
"Carreno Busta P.","Paire B.","Clay",2018,"2017-19"
"Tsitsipas S.","Ramos-Vinolas A.","Clay",2018,"2017-19"
"Carreno Busta P.","Mannarino A.","Clay",2018,"2017-19"
"Goffin D.","Khachanov K.","Clay",2018,"2017-19"
"Tsitsipas S.","Thiem D.","Clay",2018,"2017-19"
"Carreno Busta P.","Dimitrov G.","Clay",2018,"2017-19"
"Goffin D.","Bautista Agut R.","Clay",2018,"2017-19"
"Tsitsipas S.","Carreno Busta P.","Clay",2018,"2017-19"
"Nadal R.","Goffin D.","Clay",2018,"2017-19"
"Nadal R.","Tsitsipas S.","Clay",2018,"2017-19"
"Sonego L.","Hurkacz H.","Clay",2018,"2017-19"
"Struff J.L.","Bublik A.","Clay",2018,"2017-19"
"Sonego L.","Gasquet R.","Clay",2018,"2017-19"
"Sousa J.","Medvedev D.","Clay",2018,"2017-19"
"Tsitsipas S.","Anderson K.","Clay",2018,"2017-19"
"Sousa J.","Tsitsipas S.","Clay",2018,"2017-19"
"Tiafoe F.","Carreno Busta P.","Clay",2018,"2017-19"
"Sousa J.","Tiafoe F.","Clay",2018,"2017-19"
"Chardy J.","Lajovic D.","Clay",2018,"2017-19"
"Bautista Agut R.","Ruud C.","Clay",2018,"2017-19"
"Zverev A.","Struff J.L.","Clay",2018,"2017-19"
"Schwartzman D.","Mannarino A.","Clay",2018,"2017-19"
"Lajovic D.","Khachanov K.","Clay",2018,"2017-19"
"Djokovic N.","Nishikori K.","Clay",2018,"2017-19"
"Coric B.","Carreno Busta P.","Clay",2018,"2017-19"
"Shapovalov D.","Paire B.","Clay",2018,"2017-19"
"Lajovic D.","Gasquet R.","Clay",2018,"2017-19"
"Raonic M.","Dimitrov G.","Clay",2018,"2017-19"
"Nadal R.","Monfils G.","Clay",2018,"2017-19"
"Schwartzman D.","Lopez F.","Clay",2018,"2017-19"
"Coric B.","Struff J.L.","Clay",2018,"2017-19"
"Shapovalov D.","Raonic M.","Clay",2018,"2017-19"
"Thiem D.","Coric B.","Clay",2018,"2017-19"
"Nadal R.","Schwartzman D.","Clay",2018,"2017-19"
"Anderson K.","Lajovic D.","Clay",2018,"2017-19"
"Thiem D.","Nadal R.","Clay",2018,"2017-19"
"Zverev A.","Isner J.","Clay",2018,"2017-19"
"Thiem D.","Anderson K.","Clay",2018,"2017-19"
"Zverev A.","Shapovalov D.","Clay",2018,"2017-19"
"Zverev A.","Thiem D.","Clay",2018,"2017-19"
"Sonego L.","Mannarino A.","Clay",2018,"2017-19"
"Johnson S.","Wawrinka S.","Clay",2018,"2017-19"
"Nishikori K.","Lopez F.","Clay",2018,"2017-19"
"Paire B.","Gasquet R.","Clay",2018,"2017-19"
"Fognini F.","Monfils G.","Clay",2018,"2017-19"
"Ramos-Vinolas A.","Isner J.","Clay",2018,"2017-19"
"Fognini F.","Thiem D.","Clay",2018,"2017-19"
"Nishikori K.","Dimitrov G.","Clay",2018,"2017-19"
"Carreno Busta P.","Johnson S.","Clay",2018,"2017-19"
"Paire B.","Schwartzman D.","Clay",2018,"2017-19"
"Nadal R.","Shapovalov D.","Clay",2018,"2017-19"
"Cilic M.","Paire B.","Clay",2018,"2017-19"
"Djokovic N.","Ramos-Vinolas A.","Clay",2018,"2017-19"
"Nadal R.","Fognini F.","Clay",2018,"2017-19"
"Cilic M.","Carreno Busta P.","Clay",2018,"2017-19"
"Djokovic N.","Nishikori K.","Clay",2018,"2017-19"
"Zverev A.","Goffin D.","Clay",2018,"2017-19"
"Nadal R.","Djokovic N.","Clay",2018,"2017-19"
"Zverev A.","Cilic M.","Clay",2018,"2017-19"
"Nadal R.","Zverev A.","Clay",2018,"2017-19"
"Norrie C.","Isner J.","Clay",2018,"2017-19"
"Lajovic D.","Fritz T.","Clay",2018,"2017-19"
"Simon G.","Norrie C.","Clay",2018,"2017-19"
"Thiem D.","Lajovic D.","Clay",2018,"2017-19"
"Thiem D.","Simon G.","Clay",2018,"2017-19"
"Johnson S.","Mannarino A.","Clay",2018,"2017-19"
"Zverev A.","Lajovic D.","Clay",2018,"2017-19"
"Nishikori K.","Paire B.","Clay",2018,"2017-19"
"Cilic M.","Hurkacz H.","Clay",2018,"2017-19"
"Johnson S.","Struff J.L.","Clay",2018,"2017-19"
"Thiem D.","Tsitsipas S.","Clay",2018,"2017-19"
"Ramos-Vinolas A.","Ruud C.","Clay",2018,"2017-19"
"Verdasco F.","Dimitrov G.","Clay",2018,"2017-19"
"Djokovic N.","Bautista Agut R.","Clay",2018,"2017-19"
"Nishikori K.","Simon G.","Clay",2018,"2017-19"
"Schwartzman D.","Coric B.","Clay",2018,"2017-19"
"Nadal R.","Gasquet R.","Clay",2018,"2017-19"
"Goffin D.","Monfils G.","Clay",2018,"2017-19"
"Cilic M.","Johnson S.","Clay",2018,"2017-19"
"Zverev A.","Khachanov K.","Clay",2018,"2017-19"
"Thiem D.","Nishikori K.","Clay",2018,"2017-19"
"Djokovic N.","Verdasco F.","Clay",2018,"2017-19"
"Schwartzman D.","Anderson K.","Clay",2018,"2017-19"
"Cilic M.","Fognini F.","Clay",2018,"2017-19"
"Thiem D.","Zverev A.","Clay",2018,"2017-19"
"Nadal R.","Schwartzman D.","Clay",2018,"2017-19"
"Nadal R.","Thiem D.","Clay",2018,"2017-19"
"Verdasco F.","Medvedev D.","Grass",2018,"2017-19"
"Chardy J.","Mannarino A.","Grass",2018,"2017-19"
"Gasquet R.","Tsitsipas S.","Grass",2018,"2017-19"
"Gasquet R.","Chardy J.","Grass",2018,"2017-19"
"Paire B.","Fritz T.","Grass",2018,"2017-19"
"Lopez F.","Simon G.","Grass",2018,"2017-19"
"Federer R.","Raonic M.","Grass",2018,"2017-19"
"Bautista Agut R.","Struff J.L.","Grass",2018,"2017-19"
"Paire B.","Johnson S.","Grass",2018,"2017-19"
"Coric B.","Zverev A.","Grass",2018,"2017-19"
"Khachanov K.","Nishikori K.","Grass",2018,"2017-19"
"Federer R.","Paire B.","Grass",2018,"2017-19"
